t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
2.253148,0,0,188
2.253148,0,0,172
2.253148,0,0,104
2.253148,0,0,64
2.253148,0,0,148
2.253148,0,0,11
2.253645,0,0,13
2.253645,0,0,91
2.253645,0,0,92
2.253645,0,0,11
2.253645,0,0,11
2.253911,0,0,60
2.253911,0,0,10
2.253911,0,0,10
2.253911,0,0,239
2.253911,0,0,60
2.253911,0,0,164
2.254097,0,0,88
2.254097,0,0,727
2.254097,0,0,9
2.254097,0,0,61
2.254097,0,0,11
2.254097,0,0,107
2.254231,0,0,62
2.254231,0,0,149
2.254231,0,0,9
2.254231,0,0,64
2.254231,0,0,60
2.254231,0,0,11
2.254335,0,0,122
2.254335,0,0,57
2.254335,0,0,124
2.254335,0,0,61
2.254335,0,0,127
2.254462,0,0,142
2.254462,0,0,88
2.254462,0,0,106
2.254462,0,0,116
2.254462,0,0,95
2.254462,0,0,107
2.254462,0,0,74
2.254597,0,0,11
2.254597,0,0,92
2.254597,0,0,84
2.254597,0,0,90
2.254597,0,0,12
2.254783,0,0,11
2.254783,0,0,2124
2.254783,0,0,13
2.254783,0,0,13
2.254783,0,0,10
2.254783,0,0,68
2.254957,0,0,152
2.254957,0,0,62
2.254957,0,0,63
2.254957,0,0,12
2.254957,0,0,13
2.255076,0,0,272
2.255076,0,0,14
2.255076,0,0,11
2.255076,0,0,14
2.255076,0,0,108
2.255076,0,0,81
2.255184,0,0,6
2.255184,0,0,90
2.255184,0,0,98
2.255184,0,0,291
2.255184,0,0,9
2.255184,0,0,588
2.255302,0,0,244
2.255302,0,0,9
2.255302,0,0,245
2.255302,0,0,58
2.255302,0,0,168
2.255302,0,0,11
2.255406,0,0,74
2.255406,0,0,93
2.255406,0,0,10
2.255406,0,0,589
2.255406,0,0,12
2.255406,0,0,101
2.255521,0,0,141
2.255521,0,0,119
2.255521,0,0,10
2.255521,0,0,58
2.255599,0,0,126
2.255599,0,0,13
2.308731,0,0,222
2.337229,0,0,11
2.360079,0,0,68
2.379210,0,0,11
2.408024,0,0,116
2.436046,0,0,366
2.459762,0,0,18
2.488511,0,0,42
2.509249,0,0,77
2.535324,0,0,268
2.559191,0,0,11
