t_wall_s,t_boot_us,vel_ratio,pos_horiz_ratio,pos_vert_ratio,mag_ratio,hagl_ratio,tas_ratio,pos_horiz_accuracy_m,pos_vert_accuracy_m,flags
2.253645,35230163008,nan,nan,0.0006,nan,nan,nan,0.02,0.51,0x00A5
2.254231,35230666149,nan,nan,0.0005,nan,nan,nan,0.02,0.51,0x00A5
2.254597,35231164447,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
2.255184,35231661935,nan,nan,0.0003,nan,nan,nan,0.02,0.51,0x00A5
2.255521,35232159508,nan,nan,0.0005,nan,nan,nan,0.01,0.50,0x00A5
2.676289,35232663594,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
3.176541,35233153567,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
3.677277,35233663111,nan,nan,0.0005,nan,nan,nan,0.02,0.51,0x00A5
4.176177,35234164082,nan,nan,0.0003,nan,nan,nan,0.01,0.50,0x00A5
4.675988,35234662142,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
5.177255,35235166716,nan,nan,0.0004,nan,nan,nan,0.01,0.50,0x00A5
5.675059,35235662948,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
6.176339,35236165272,nan,nan,0.0008,nan,nan,nan,0.01,0.50,0x00A5
6.677743,35236663075,nan,nan,0.0009,nan,nan,nan,0.02,0.51,0x00A5
7.177564,35237162386,nan,nan,0.0007,nan,nan,nan,0.02,0.51,0x00A5
7.676285,35237668187,nan,nan,0.0011,nan,nan,nan,0.02,0.51,0x00A5
8.175895,35238165284,nan,nan,0.0010,nan,nan,nan,0.02,0.51,0x00A5
8.676126,35238663672,nan,nan,0.0008,nan,nan,nan,0.01,0.50,0x00A5
9.179138,35239165619,nan,nan,0.0007,nan,nan,nan,0.02,0.51,0x00A5
9.678003,35239665861,nan,nan,0.0005,nan,nan,nan,0.01,0.51,0x00A5
10.177152,35240160951,nan,nan,0.0005,nan,nan,nan,0.02,0.51,0x00A5
10.677728,35240667386,nan,nan,0.0003,nan,nan,nan,0.01,0.51,0x00A5
11.175589,35241162623,nan,nan,0.0001,nan,nan,nan,0.02,0.51,0x00A5
11.677394,35241665282,nan,nan,0.0002,nan,nan,nan,0.01,0.50,0x00A5
12.176418,35242161548,nan,nan,0.0001,nan,nan,nan,0.02,0.51,0x00A5
12.676739,35242666205,nan,nan,0.0001,nan,nan,nan,0.01,0.50,0x00A5
13.178886,35243164074,nan,nan,0.0005,nan,nan,nan,0.02,0.51,0x00A5
13.677925,35243663297,nan,nan,0.0003,nan,nan,nan,0.01,0.50,0x00A5
14.176959,35244160835,nan,nan,0.0005,nan,nan,nan,0.02,0.51,0x00A5
14.678405,35244664599,nan,nan,0.0009,nan,nan,nan,0.01,0.50,0x00A5
15.177204,35245166613,nan,nan,0.0007,nan,nan,nan,0.02,0.51,0x00A5
15.671493,35245659029,nan,nan,0.0009,nan,nan,nan,0.02,0.51,0x00A5
16.180568,35246162390,nan,nan,0.0008,nan,nan,nan,0.02,0.51,0x00A5
16.680242,35246664976,nan,nan,0.0006,nan,nan,nan,0.02,0.51,0x00A5
17.177676,35247164184,nan,nan,0.0002,nan,nan,nan,0.02,0.50,0x00A5
17.678740,35247663924,nan,nan,0.0002,nan,nan,nan,0.02,0.51,0x00A5
18.176608,35248164245,nan,nan,0.0001,nan,nan,nan,0.01,0.51,0x00A5
18.676005,35248665347,nan,nan,0.0001,nan,nan,nan,0.02,0.51,0x00A5
19.177753,35249162907,nan,nan,0.0005,nan,nan,nan,0.01,0.50,0x00A5
19.677196,35249665561,nan,nan,0.0006,nan,nan,nan,0.02,0.51,0x00A5
20.180151,35250164159,nan,nan,0.0002,nan,nan,nan,0.01,0.50,0x00A5
20.676292,35250665475,nan,nan,0.0002,nan,nan,nan,0.02,0.50,0x00A5
21.176900,35251162402,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
21.679553,35251663640,nan,nan,0.0004,nan,nan,nan,0.01,0.51,0x00A5
22.177296,35252166665,nan,nan,0.0005,nan,nan,nan,0.02,0.51,0x00A5
22.680433,35252658152,nan,nan,0.0003,nan,nan,nan,0.01,0.50,0x00A5
23.176793,35253165892,nan,nan,0.0003,nan,nan,nan,0.02,0.51,0x00A5
23.677683,35253663931,nan,nan,0.0005,nan,nan,nan,0.01,0.50,0x00A5
24.177189,35254165441,nan,nan,0.0005,nan,nan,nan,0.02,0.51,0x00A5
24.677678,35254661946,nan,nan,0.0006,nan,nan,nan,0.01,0.50,0x00A5
25.177876,35255166004,nan,nan,0.0006,nan,nan,nan,0.02,0.51,0x00A5
25.677155,35255661062,nan,nan,0.0004,nan,nan,nan,0.01,0.50,0x00A5
26.178276,35256165589,nan,nan,0.0004,nan,nan,nan,0.02,0.51,0x00A5
26.677659,35256663972,nan,nan,0.0003,nan,nan,nan,0.01,0.50,0x00A5
27.176826,35257164190,nan,nan,0.0003,nan,nan,nan,0.02,0.51,0x00A5
27.680216,35257667591,nan,nan,0.0005,nan,nan,nan,0.01,0.50,0x00A5
