t_sim,mhe_us,mpc_us,cycle_us
0.560000,0.000,0.000,251.000
0.660000,0.000,0.000,37.000
0.750000,0.000,0.000,57.000
0.790000,0.000,0.000,22.000
0.860000,0.000,0.000,85.000
0.930000,0.000,0.000,164.000
14.960000,0.000,0.000,1067.000
15.050000,0.000,0.000,27.000
15.150000,0.000,0.000,33.000
15.200000,0.000,0.000,46.000
15.260000,0.000,0.000,138.000
15.330000,0.000,0.000,66.000
15.500000,0.000,0.000,253.000
15.560000,0.000,0.000,31.000
15.680000,0.000,0.000,4.000
15.810000,0.000,0.000,4.000
15.860000,0.000,0.000,44.000
15.970000,0.000,0.000,3.000
16.090000,0.000,0.000,55.000
16.120000,0.000,0.000,851.000
16.270000,0.000,0.000,3.000
16.380000,0.000,0.000,5.000
16.500000,0.000,0.000,181.000
16.610000,0.000,0.000,75.000
16.840000,0.000,0.000,4.000
17.070000,0.000,0.000,3.000
17.210000,0.000,0.000,23.000
17.340000,0.000,0.000,31.000
17.510000,0.000,0.000,18.000
17.620000,0.000,0.000,4.000
17.700000,0.000,0.000,4.000
17.790000,0.000,0.000,4.000
17.930000,0.000,0.000,10.000
18.100000,5079.000,12233.000,17482.000
18.300000,4627.000,13832.000,18647.000
18.400000,0.000,0.000,25.000
18.620000,0.000,0.000,13.000
18.710000,0.000,0.000,1150.000
18.800000,0.000,0.000,11.000
18.930000,0.000,0.000,3.000
19.030000,0.000,0.000,313.000
19.140000,0.000,0.000,18.000
19.370000,0.000,0.000,4.000
19.460000,18686.000,20769.000,39650.000
19.620000,0.000,0.000,3.000
19.700000,0.000,0.000,17.000
19.840000,0.000,0.000,20.000
19.940000,0.000,0.000,25.000
20.080000,0.000,0.000,14.000
20.230000,0.000,0.000,4.000
20.350000,0.000,0.000,131.000
20.530000,5542.000,12491.000,18236.000
20.600000,0.000,0.000,1024.000
20.710000,0.000,0.000,1006.000
20.860000,14832.000,25722.000,40791.000
20.990000,0.000,0.000,21.000
21.150000,0.000,0.000,4.000
21.230000,0.000,0.000,41.000
21.400000,0.000,0.000,5.000
21.550000,13169.000,26358.000,39829.000
21.650000,0.000,0.000,23.000
21.730000,0.000,0.000,569.000
21.870000,0.000,0.000,4.000
22.020000,0.000,0.000,46.000
22.180000,0.000,0.000,3.000
22.260000,0.000,0.000,175.000
22.410000,0.000,0.000,5.000
22.600000,0.000,0.000,16.000
22.760000,0.000,0.000,45.000
22.840000,0.000,0.000,12.000
22.960000,5848.000,13134.000,19127.000
23.049999,0.000,0.000,21.000
23.250000,0.000,0.000,4.000
23.350000,0.000,0.000,9.000
23.490000,0.000,0.000,20.000
23.580000,0.000,0.000,10.000
23.650000,0.000,0.000,33.000
23.810000,5464.000,13827.000,19422.000
23.900000,0.000,0.000,21.000
24.100000,0.000,0.000,3.000
24.180000,0.000,0.000,17.000
24.290000,16195.000,22346.000,38910.000
24.430000,0.000,0.000,93.000
24.550000,9759.000,29797.000,39766.000
24.630000,12790.000,27712.000,40786.000
24.730000,0.000,0.000,128.000
24.880000,15682.000,27508.000,43460.000
24.950000,0.000,0.000,139.000
25.180000,0.000,0.000,4.000
25.320000,0.000,0.000,4.000
25.360000,0.000,0.000,46.000
25.500000,0.000,0.000,1.000
25.660000,0.000,0.000,4.000
25.760000,0.000,0.000,99.000
25.860000,0.000,0.000,17.000
25.990000,0.000,0.000,3.000
26.200000,17789.000,22459.000,40567.000
26.290000,0.000,0.000,96.000
26.560000,17881.000,20930.000,39105.000
26.630000,0.000,0.000,3.000
26.720000,0.000,0.000,22.000
26.870000,0.000,0.000,3.000
27.000000,0.000,0.000,2.000
27.190000,16713.000,23510.000,40444.000
27.270000,0.000,0.000,35.000
27.380000,0.000,0.000,22.000
27.560000,15864.000,23295.000,39436.000
27.660000,0.000,0.000,18.000
27.810000,0.000,0.000,16.000
27.980000,0.000,0.000,17.000
28.140000,0.000,0.000,2.000
28.300000,0.000,0.000,9.000
28.600000,16773.000,22350.000,39390.000
28.690000,0.000,0.000,39.000
28.800000,0.000,0.000,5.000
28.850000,0.000,0.000,45.000
