t_sim,mhe_us,mpc_us,cycle_us
0.540000,0.000,0.000,299.000
0.600000,0.000,0.000,99.000
0.670000,0.000,0.000,412.000
0.770000,0.000,0.000,448.000
0.870000,0.000,0.000,132.000
0.940000,0.000,0.000,69.000
1.030000,0.000,0.000,42.000
15.030000,0.000,0.000,70.000
15.100000,0.000,0.000,314.000
15.130000,0.000,0.000,121.000
15.210000,0.000,0.000,361.000
15.250000,0.000,0.000,313.000
15.320000,0.000,0.000,71.000
15.360000,0.000,0.000,329.000
15.430000,0.000,0.000,525.000
15.490000,0.000,0.000,608.000
15.570000,0.000,0.000,108.000
15.620000,0.000,0.000,77.000
15.690000,0.000,0.000,466.000
15.740000,0.000,0.000,48.000
15.820000,0.000,0.000,380.000
15.870000,0.000,0.000,152.000
15.950000,0.000,0.000,88.000
16.040000,0.000,0.000,6.000
16.090000,0.000,0.000,188.000
16.150000,0.000,0.000,66.000
16.220000,0.000,0.000,101.000
16.260000,0.000,0.000,123.000
16.330000,0.000,0.000,116.000
16.370000,0.000,0.000,52.000
16.410000,0.000,0.000,322.000
16.570000,0.000,0.000,73.000
16.600000,0.000,0.000,248.000
16.650000,0.000,0.000,132.000
16.720000,0.000,0.000,131.000
16.770000,0.000,0.000,100.000
16.810000,0.000,0.000,103.000
16.850000,0.000,0.000,375.000
16.930000,0.000,0.000,6.000
16.970000,0.000,0.000,478.000
17.079999,0.000,0.000,102.000
17.130000,0.000,0.000,70.000
17.210000,0.000,0.000,126.000
17.270000,0.000,0.000,103.000
