t_sim,mhe_us,mpc_us,cycle_us
0.470000,0.000,0.000,95.000
0.580000,0.000,0.000,281.000
0.630000,0.000,0.000,28.000
0.690000,0.000,0.000,38.000
0.770000,0.000,0.000,834.000
0.830000,0.000,0.000,257.000
14.920000,0.000,0.000,40.000
15.010000,0.000,0.000,102.000
15.060000,0.000,0.000,25.000
15.120000,0.000,0.000,49.000
15.190000,0.000,0.000,349.000
15.230000,0.000,0.000,95.000
15.300000,0.000,0.000,37.000
15.390000,0.000,0.000,267.000
15.550000,0.000,0.000,29.000
15.650000,0.000,0.000,100.000
15.740000,0.000,0.000,18.000
15.910000,0.000,0.000,6.000
16.030000,0.000,24751.000,25024.000
16.110000,0.000,0.000,64.000
16.360000,0.000,0.000,4.000
16.490000,19241.000,20498.000,40030.000
16.690000,0.000,0.000,5.000
16.780000,0.000,0.000,113.000
16.910000,0.000,0.000,3.000
17.050000,15734.000,23373.000,39329.000
17.160000,0.000,0.000,16.000
17.290000,0.000,0.000,12.000
17.390000,0.000,0.000,138.000
17.480000,0.000,0.000,19.000
17.570000,0.000,0.000,14.000
17.720000,0.000,0.000,13.000
17.960000,4394.000,12711.000,17352.000
18.100000,0.000,0.000,3.000
18.220000,0.000,0.000,4.000
18.310000,0.000,0.000,23.000
18.410000,12383.000,26722.000,39344.000
18.570000,0.000,0.000,3.000
18.670000,0.000,0.000,54.000
18.750000,0.000,0.000,4.000
18.860000,0.000,0.000,4.000
18.950000,0.000,0.000,5.000
19.040000,0.000,0.000,39.000
19.130000,0.000,0.000,21.000
19.350000,0.000,0.000,4.000
19.460000,0.000,0.000,18.000
19.610000,0.000,0.000,63.000
19.720000,0.000,0.000,25.000
19.890000,0.000,0.000,3.000
19.980000,0.000,0.000,44.000
20.070000,0.000,0.000,41.000
20.140000,0.000,0.000,31.000
20.200000,0.000,0.000,16.000
20.340000,0.000,0.000,3.000
20.550000,0.000,0.000,96.000
20.640000,0.000,0.000,4.000
20.750000,0.000,0.000,13.000
20.890000,14790.000,24426.000,39431.000
20.990000,5369.000,12397.000,17921.000
21.070000,0.000,0.000,14.000
21.160000,0.000,0.000,7.000
21.250000,0.000,0.000,17.000
21.400000,0.000,0.000,6.000
21.550000,5176.000,12414.000,17721.000
21.610000,0.000,0.000,22.000
21.790000,0.000,0.000,3.000
21.930000,9972.000,29682.000,39894.000
22.020000,0.000,0.000,16.000
22.170000,5682.000,21175.000,27037.000
22.260000,0.000,0.000,128.000
22.410000,0.000,0.000,4.000
22.550000,6206.000,12351.000,18812.000
22.600000,0.000,0.000,37.000
22.770000,6587.000,12125.000,18861.000
22.860000,0.000,0.000,16.000
22.979999,0.000,0.000,3.000
23.059999,0.000,0.000,20.000
23.170000,0.000,0.000,23.000
23.340000,0.000,0.000,18.000
23.420000,0.000,0.000,14.000
23.650000,7786.000,15300.000,23242.000
23.730000,0.000,0.000,6.000
23.810000,0.000,0.000,27.000
23.910000,0.000,0.000,9.000
24.050000,0.000,0.000,13.000
24.130000,0.000,0.000,8.000
24.220000,0.000,0.000,55.000
24.340000,5814.000,10562.000,16725.000
24.480000,0.000,0.000,4.000
24.650000,15673.000,23121.000,39140.000
24.760000,0.000,0.000,18.000
24.850000,0.000,0.000,4.000
25.010000,0.000,0.000,4.000
25.190000,0.000,0.000,30.000
25.340000,5825.000,13338.000,19324.000
25.480000,10225.000,28831.000,39255.000
25.590000,0.000,0.000,591.000
25.730000,18078.000,21315.000,39698.000
25.860000,0.000,0.000,27.000
26.000000,0.000,0.000,54.000
26.130000,0.000,0.000,15.000
26.180000,0.000,0.000,127.000
26.260000,0.000,0.000,22.000
26.350000,0.000,0.000,32.000
26.480000,0.000,0.000,3.000
26.630000,17986.000,20899.000,39178.000
26.720000,0.000,0.000,3.000
26.830000,0.000,0.000,228.000
26.920000,0.000,0.000,22.000
27.020000,0.000,0.000,36.000
27.100000,0.000,0.000,30.000
27.270000,0.000,0.000,12.000
27.410000,15829.000,23062.000,39184.000
27.570000,0.000,0.000,3.000
27.730000,0.000,0.000,107.000
27.860000,0.000,0.000,13.000
27.940000,0.000,0.000,57.000
28.070000,0.000,0.000,5.000
28.200000,8591.000,17129.000,25908.000
28.290000,0.000,0.000,68.000
28.430000,17113.000,22163.000,39569.000
28.520000,0.000,0.000,97.000
28.640000,0.000,0.000,31.000
28.790000,0.000,0.000,4.000
