t_sim,mhe_us,mpc_us,cycle_us
0.560000,0.000,0.000,344.000
0.660000,0.000,0.000,93.000
0.710000,0.000,0.000,261.000
0.770000,0.000,0.000,64.000
0.840000,0.000,0.000,161.000
0.900000,0.000,0.000,152.000
15.010000,0.000,0.000,740.000
15.110000,0.000,0.000,55.000
15.180000,0.000,0.000,132.000
15.220000,0.000,0.000,220.000
15.270000,0.000,0.000,356.000
15.350000,0.000,0.000,45.000
15.560000,0.000,40100.000,40290.000
15.760000,0.000,48271.000,48666.000
15.860000,0.000,47367.000,47843.000
16.010000,0.000,0.000,17.000
16.200000,0.000,52954.000,53312.000
16.330000,0.000,0.000,3.000
16.430000,0.000,0.000,11.000
16.550000,0.000,0.000,31.000
16.730000,24515.000,31797.000,56672.000
16.910000,18432.000,28778.000,47565.000
16.990000,5779.000,33403.000,39345.000
17.140000,19253.000,35471.000,55077.000
17.260000,0.000,0.000,3.000
17.350000,0.000,0.000,22.000
17.460000,0.000,0.000,108.000
17.620000,16805.000,34555.000,51710.000
17.730000,0.000,0.000,4.000
17.820000,0.000,0.000,3.000
17.910000,8105.000,36395.000,44988.000
18.070000,12436.000,41548.000,54333.000
18.160000,12283.000,38907.000,51538.000
18.290000,0.000,0.000,3.000
18.390000,0.000,0.000,577.000
18.490000,0.000,0.000,24.000
18.600000,0.000,0.000,12.000
18.730000,0.000,0.000,14.000
18.900000,0.000,0.000,4.000
19.010000,0.000,0.000,55.000
19.120000,0.000,0.000,99.000
19.220000,0.000,0.000,14.000
19.360000,0.000,0.000,26.000
19.450000,0.000,0.000,37.000
19.600000,5170.000,33730.000,39041.000
19.770000,0.000,0.000,3.000
19.880000,0.000,0.000,1.000
19.960000,0.000,0.000,30.000
20.070000,0.000,0.000,73.000
20.200000,0.000,0.000,45.000
20.320000,0.000,0.000,15.000
20.450000,6017.000,34206.000,40736.000
20.570000,9174.000,37705.000,47155.000
20.660000,0.000,0.000,21.000
20.750000,0.000,0.000,993.000
20.930000,11246.000,43455.000,55007.000
21.080000,0.000,0.000,45.000
21.170000,0.000,0.000,51.000
21.300000,0.000,0.000,9.000
21.420000,0.000,0.000,8.000
21.590000,13473.000,39398.000,53516.000
21.710000,13350.000,32846.000,46553.000
21.820000,0.000,0.000,4.000
21.930000,0.000,0.000,10.000
22.020000,0.000,0.000,2.000
22.130000,0.000,0.000,39.000
22.220000,0.000,0.000,20.000
22.330000,0.000,0.000,171.000
22.440000,0.000,0.000,48.000
22.530000,0.000,0.000,35.000
22.620000,0.000,0.000,12.000
22.740000,0.000,0.000,3.000
22.860000,0.000,0.000,400.000
22.940000,0.000,0.000,358.000
23.090000,0.000,0.000,29.000
23.179999,0.000,0.000,17.000
23.370000,16723.000,38239.000,55381.000
23.470000,0.000,0.000,29.000
23.670000,16853.000,37121.000,54387.000
23.810000,0.000,0.000,3.000
23.900000,0.000,0.000,17.000
24.010000,0.000,0.000,27.000
24.160000,0.000,0.000,3.000
24.280000,0.000,0.000,3.000
24.370000,0.000,0.000,37.000
24.590000,12700.000,41713.000,54736.000
24.740000,4860.000,24808.000,29826.000
24.860000,0.000,0.000,418.000
24.940000,0.000,0.000,44.000
25.050000,0.000,0.000,45.000
25.180000,0.000,0.000,68.000
25.360000,17250.000,36768.000,54356.000
25.470000,0.000,0.000,4.000
25.600000,0.000,0.000,1377.000
25.700000,0.000,0.000,44.000
25.870000,8417.000,35742.000,44375.000
25.990000,5659.000,26366.000,32254.000
26.100000,0.000,0.000,112.000
26.220000,0.000,0.000,186.000
26.350000,0.000,0.000,6.000
26.460000,17727.000,32291.000,50403.000
26.610000,5429.000,24886.000,30497.000
26.720000,0.000,0.000,21.000
26.850000,0.000,0.000,50.000
26.950000,0.000,0.000,21.000
27.140000,0.000,0.000,4.000
27.260000,0.000,0.000,517.000
27.340000,0.000,0.000,39.000
27.450000,0.000,0.000,24.000
27.610000,7654.000,36668.000,44531.000
27.780000,0.000,0.000,82.000
27.980000,0.000,0.000,20.000
28.090000,0.000,0.000,94.000
28.260000,0.000,0.000,4.000
28.380000,0.000,0.000,3.000
28.470000,7797.000,32020.000,40098.000
28.570000,8307.000,45894.000,54479.000
28.630000,0.000,0.000,283.000
28.750000,0.000,0.000,4.000
28.820000,0.000,0.000,58.000
28.910000,0.000,0.000,55.000
