t_sim,mhe_us,mpc_us,cycle_us
0.560000,0.000,0.000,16.000
0.650000,0.000,0.000,28.000
0.730000,0.000,0.000,86.000
0.780000,0.000,0.000,25.000
0.870000,0.000,0.000,21.000
0.950000,0.000,0.000,25.000
15.010000,0.000,0.000,28.000
15.100000,0.000,0.000,119.000
15.150000,0.000,0.000,24.000
15.220000,0.000,0.000,39.000
15.320000,0.000,0.000,74.000
15.410000,0.000,0.000,25.000
15.560000,0.000,0.000,5.000
15.630000,0.000,33834.000,34054.000
15.690000,0.000,0.000,7.000
15.760000,0.000,0.000,4.000
15.810000,0.000,0.000,155.000
15.930000,0.000,0.000,4.000
16.090000,0.000,0.000,4.000
16.200000,0.000,0.000,3.000
16.250000,0.000,0.000,34.000
16.410000,24305.000,14521.000,39432.000
16.550000,0.000,0.000,3.000
16.670000,0.000,0.000,3.000
16.720000,0.000,0.000,18.000
16.830000,0.000,0.000,4.000
16.920000,0.000,0.000,16.000
17.029999,0.000,0.000,10.000
17.190000,0.000,0.000,3.000
17.300000,0.000,0.000,18.000
17.410000,0.000,0.000,56.000
17.580000,9693.000,14676.000,24636.000
17.660000,0.000,0.000,18.000
17.770000,0.000,0.000,4.000
17.930000,0.000,0.000,2.000
18.040000,0.000,0.000,5.000
18.240000,0.000,0.000,5.000
18.400000,0.000,0.000,4.000
18.620000,0.000,0.000,6.000
18.710000,0.000,0.000,4.000
18.870000,0.000,0.000,4.000
19.020000,0.000,0.000,15.000
19.150000,16831.000,21848.000,38963.000
19.230000,0.000,0.000,23.000
19.420000,0.000,0.000,4.000
19.550000,0.000,0.000,23.000
19.610000,0.000,0.000,69.000
19.690000,0.000,0.000,34.000
19.850000,0.000,0.000,87.000
19.990000,0.000,0.000,51.000
20.120000,0.000,0.000,23.000
20.340000,5124.000,20607.000,25920.000
20.560000,0.000,0.000,41.000
20.650000,0.000,0.000,856.000
20.760000,0.000,0.000,227.000
20.890000,0.000,0.000,409.000
21.030000,4927.000,13498.000,19032.000
21.140000,12023.000,29769.000,42019.000
21.270000,0.000,0.000,183.000
21.410000,5182.000,12676.000,17993.000
21.520000,0.000,0.000,3.000
21.690000,5225.000,12563.000,17916.000
21.750000,0.000,0.000,394.000
21.880000,0.000,0.000,3.000
21.970000,0.000,0.000,137.000
22.110000,0.000,0.000,48.000
22.240000,0.000,0.000,4.000
22.330000,0.000,0.000,17.000
22.420000,0.000,0.000,4.000
22.560000,0.000,0.000,15.000
22.570000,0.000,0.000,172.000
22.650000,0.000,0.000,14.000
22.790000,0.000,0.000,3.000
22.960000,0.000,0.000,3.000
23.110000,0.000,0.000,535.000
23.340000,0.000,0.000,4.000
23.580000,0.000,0.000,3.000
23.690000,14890.000,26761.000,41942.000
23.790000,0.000,0.000,17.000
23.940000,0.000,0.000,4.000
24.030000,0.000,0.000,222.000
24.150000,0.000,0.000,53.000
24.380000,15976.000,23587.000,39890.000
24.570000,0.000,0.000,5.000
24.700000,15568.000,24192.000,39975.000
24.800000,0.000,0.000,295.000
24.960000,0.000,0.000,28.000
25.120000,0.000,0.000,21.000
25.280000,0.000,0.000,156.000
25.520000,0.000,0.000,4.000
25.650000,5626.000,13130.000,18906.000
25.760000,0.000,0.000,13.000
25.850000,0.000,0.000,68.000
25.940000,0.000,0.000,16.000
26.160000,0.000,0.000,5.000
26.250000,0.000,0.000,6.000
26.420000,0.000,0.000,15.000
26.510000,0.000,0.000,80.000
26.670000,0.000,0.000,24.000
26.890000,0.000,0.000,3.000
27.010000,0.000,0.000,179.000
27.100000,0.000,0.000,1.000
27.190000,0.000,0.000,206.000
27.420000,15901.000,23784.000,39892.000
27.600000,0.000,0.000,4.000
27.750000,0.000,0.000,4.000
27.840000,0.000,0.000,14.000
28.080000,0.000,0.000,165.000
28.230000,0.000,0.000,123.000
28.370000,0.000,0.000,129.000
28.480000,0.000,0.000,15.000
28.640000,0.000,0.000,4.000
28.730000,0.000,0.000,24.000
28.860000,0.000,0.000,145.000
28.910000,0.000,0.000,60.000
