t_sim,mhe_us,mpc_us,cycle_us
0.570000,0.000,0.000,36.000
0.640000,0.000,0.000,226.000
0.710000,0.000,0.000,307.000
0.780000,0.000,0.000,104.000
0.820000,0.000,0.000,32.000
0.890000,0.000,0.000,56.000
0.960000,0.000,0.000,310.000
15.050000,0.000,0.000,1408.000
15.110000,0.000,0.000,126.000
15.170000,0.000,0.000,428.000
15.230000,0.000,0.000,958.000
15.270000,0.000,0.000,75.000
15.350000,0.000,0.000,546.000
15.410000,0.000,0.000,232.000
15.460000,0.000,0.000,573.000
15.520000,0.000,0.000,433.000
15.600000,0.000,0.000,48.000
15.680000,0.000,0.000,68.000
15.730000,0.000,0.000,95.000
15.800000,0.000,0.000,65.000
15.830000,0.000,0.000,78.000
15.880000,0.000,0.000,68.000
15.930000,0.000,0.000,61.000
15.960000,0.000,0.000,95.000
16.010000,0.000,0.000,201.000
16.090000,0.000,0.000,100.000
16.140000,0.000,0.000,131.000
16.170000,0.000,0.000,367.000
16.250000,0.000,0.000,689.000
16.290000,0.000,0.000,246.000
16.370000,0.000,0.000,190.000
16.430000,0.000,0.000,313.000
16.490000,0.000,0.000,117.000
16.550000,0.000,0.000,496.000
16.610000,0.000,0.000,270.000
16.680000,0.000,0.000,55.000
16.750000,0.000,0.000,155.000
16.820000,0.000,0.000,170.000
16.900000,0.000,0.000,82.000
16.990000,0.000,0.000,974.000
17.050000,0.000,0.000,281.000
17.120000,0.000,0.000,150.000
17.170000,0.000,0.000,769.000
17.260000,0.000,0.000,19.000
