t_wall_s,t_boot_us,vel_ratio,pos_horiz_ratio,pos_vert_ratio,mag_ratio,hagl_ratio,tas_ratio,pos_horiz_accuracy_m,pos_vert_accuracy_m,flags
2.253812,66454796484,nan,nan,0.0007,nan,nan,nan,279.98,1.89,0x0025
2.255034,66455295054,nan,nan,0.0008,nan,nan,nan,284.56,1.89,0x0025
2.255608,66455797231,nan,nan,0.0006,nan,nan,nan,289.55,1.88,0x0025
2.256250,66456297016,nan,nan,0.0005,nan,nan,nan,294.24,1.88,0x0025
2.256840,66456796585,nan,nan,0.0006,nan,nan,nan,299.15,1.88,0x0025
2.646354,66457294219,nan,nan,0.0003,nan,nan,nan,304.03,1.85,0x0025
3.147677,66457795343,nan,nan,0.0004,nan,nan,nan,308.94,1.85,0x0025
3.646246,66458296477,nan,nan,0.0003,nan,nan,nan,313.98,1.85,0x0025
4.134557,66458794444,nan,nan,0.0001,nan,nan,nan,319.30,1.83,0x0025
4.647495,66459294127,nan,nan,0.0003,nan,nan,nan,324.43,1.83,0x0025
5.147994,66459794553,nan,nan,0.0005,nan,nan,nan,329.85,1.84,0x0025
5.646653,66460296604,nan,nan,0.0007,nan,nan,nan,335.25,1.85,0x0025
6.148740,66460796824,nan,nan,0.0011,nan,nan,nan,340.44,1.84,0x0025
6.647721,66461294882,nan,nan,0.0011,nan,nan,nan,345.79,1.81,0x0025
7.146938,66461797756,nan,nan,0.0018,nan,nan,nan,351.43,1.83,0x0025
7.646601,66462293282,nan,nan,0.0014,nan,nan,nan,356.89,1.83,0x0025
8.147567,66462796052,nan,nan,0.0014,nan,nan,nan,362.32,1.83,0x0025
8.647916,66463296269,nan,nan,0.0016,nan,nan,nan,356.00,1.80,0x0025
9.148538,66463797905,nan,nan,0.0012,nan,nan,nan,361.59,1.81,0x0025
9.647510,66464297711,nan,nan,0.0015,nan,nan,nan,366.79,1.80,0x0025
10.146222,66464791042,nan,nan,0.0018,nan,nan,nan,372.44,1.81,0x0025
10.646141,66465300370,nan,nan,0.0021,nan,nan,nan,378.03,1.79,0x0025
11.146281,66465795429,nan,nan,0.0020,nan,nan,nan,383.40,1.79,0x0025
11.635124,66466296323,nan,nan,0.0021,nan,nan,nan,388.87,1.79,0x0025
12.147711,66466795911,nan,nan,0.0020,nan,nan,nan,394.56,1.80,0x0025
12.646806,66467297135,nan,nan,0.0019,nan,nan,nan,400.04,1.77,0x0025
13.148226,66467797579,nan,nan,0.0020,nan,nan,nan,405.60,1.78,0x0025
13.635150,66468296091,nan,nan,0.0015,nan,nan,nan,411.53,1.79,0x0025
14.148665,66468795421,nan,nan,0.0015,nan,nan,nan,417.31,1.79,0x0025
14.645750,66469294644,nan,nan,0.0009,nan,nan,nan,423.36,1.77,0x0025
15.145520,66469795088,nan,nan,0.0011,nan,nan,nan,429.26,1.78,0x0025
15.647894,66470298132,nan,nan,0.0011,nan,nan,nan,435.48,1.80,0x0025
16.133393,66470798043,nan,nan,0.0010,nan,nan,nan,441.37,1.80,0x0025
16.646026,66471295264,nan,nan,0.0011,nan,nan,nan,447.42,1.78,0x0025
17.146613,66471795603,nan,nan,0.0011,nan,nan,nan,453.34,1.78,0x0025
17.646264,66472295518,nan,nan,0.0014,nan,nan,nan,459.73,1.79,0x0025
18.147100,66472795013,nan,nan,0.0011,nan,nan,nan,465.46,1.78,0x0025
18.648757,66473296415,nan,nan,0.0010,nan,nan,nan,471.88,1.76,0x0025
19.146059,66473792593,nan,nan,0.0009,nan,nan,nan,478.42,1.78,0x0025
19.634762,66474295374,nan,nan,0.0006,nan,nan,nan,484.54,1.78,0x0025
20.144687,66474793186,nan,nan,0.0004,nan,nan,nan,490.94,1.78,0x0025
20.645849,66475294912,nan,nan,0.0001,nan,nan,nan,497.32,1.76,0x0025
21.136580,66475789703,nan,nan,0.0001,nan,nan,nan,503.55,1.76,0x0025
21.646688,66476295557,nan,nan,0.0003,nan,nan,nan,510.41,1.77,0x0025
22.145998,66476794884,nan,nan,0.0001,nan,nan,nan,516.96,1.77,0x0025
22.647613,66477295673,nan,nan,0.0007,nan,nan,nan,523.82,1.75,0x0025
23.147301,66477795680,nan,nan,0.0007,nan,nan,nan,530.41,1.74,0x0025
23.635235,66478296388,nan,nan,0.0007,nan,nan,nan,537.35,1.74,0x0025
24.147410,66478795978,nan,nan,0.0007,nan,nan,nan,543.84,1.74,0x0025
24.647959,66479295847,nan,nan,0.0004,nan,nan,nan,550.70,1.72,0x0025
25.147668,66479797278,nan,nan,0.0003,nan,nan,nan,557.78,1.73,0x0025
25.648823,66480299034,nan,nan,0.0002,nan,nan,nan,564.60,1.74,0x0025
26.145667,66480794840,nan,nan,0.0009,nan,nan,nan,571.52,1.74,0x0025
26.645897,66481296217,nan,nan,0.0004,nan,nan,nan,578.62,1.71,0x0025
27.145780,66481796645,nan,nan,0.0003,nan,nan,nan,585.75,1.71,0x0025
27.646448,66482294779,nan,nan,0.0002,nan,nan,nan,592.74,1.71,0x0025
28.147454,66482794554,nan,nan,0.0003,nan,nan,nan,599.62,1.71,0x0025
28.646227,66483294324,nan,nan,0.0003,nan,nan,nan,606.89,1.70,0x0025
29.146671,66483792189,nan,nan,0.0010,nan,nan,nan,614.13,1.72,0x0025
29.646157,66484295012,nan,nan,0.0006,nan,nan,nan,621.22,1.72,0x0025
30.147882,66484791606,nan,nan,0.0004,nan,nan,nan,628.32,1.73,0x0025
30.645820,66485290106,nan,nan,0.0001,nan,nan,nan,635.31,1.72,0x0025
31.146599,66485795412,nan,nan,0.0002,nan,nan,nan,642.40,1.74,0x0025
31.647262,66486297041,nan,nan,0.0005,nan,nan,nan,649.22,1.77,0x0025
32.147139,66486795725,nan,nan,0.0004,nan,nan,nan,655.99,1.80,0x0025
32.648860,66487298309,nan,nan,0.0002,nan,nan,nan,662.73,1.81,0x0025
33.144639,66487794465,nan,nan,0.0003,nan,nan,nan,669.17,1.84,0x0025
33.645798,66488294948,nan,nan,0.0006,nan,nan,nan,675.73,1.89,0x0025
34.147111,66488792712,nan,nan,0.0006,nan,nan,nan,681.66,1.92,0x0025
34.646592,66489297727,nan,nan,0.0005,nan,nan,nan,687.55,1.92,0x0025
35.147534,66489793728,nan,nan,0.0003,nan,nan,nan,693.38,1.95,0x0025
35.648204,66490295763,nan,nan,0.0001,nan,nan,nan,699.18,1.98,0x0025
36.146870,66490798619,nan,nan,0.0002,nan,nan,nan,705.14,2.01,0x0025
36.635166,66491291185,nan,nan,0.0011,nan,nan,nan,710.57,1.98,0x0025
37.146319,66491795413,nan,nan,0.0012,nan,nan,nan,716.69,2.01,0x0025
37.647315,66492293874,nan,nan,0.0015,nan,nan,nan,722.87,2.02,0x0025
38.146947,66492795372,nan,nan,0.0019,nan,nan,nan,729.02,2.03,0x0025
38.646635,66493298308,nan,nan,0.0020,nan,nan,nan,735.66,2.02,0x0025
39.147468,66493797891,nan,nan,0.0023,nan,nan,nan,742.23,2.03,0x0025
39.647141,66494293555,nan,nan,0.0023,nan,nan,nan,748.95,2.03,0x0025
40.134416,66494794432,nan,nan,0.0028,nan,nan,nan,756.07,2.05,0x0025
40.644914,66495296835,nan,nan,0.0029,nan,nan,nan,762.98,2.01,0x0025
41.146012,66495796645,nan,nan,0.0027,nan,nan,nan,770.48,2.03,0x0025
41.646568,66496299606,nan,nan,0.0025,nan,nan,nan,777.98,2.04,0x0025
42.134539,66496795276,nan,nan,0.0020,nan,nan,nan,785.69,2.01,0x0025
42.647306,66497296430,nan,nan,0.0017,nan,nan,nan,793.25,2.05,0x0025
43.147363,66497797249,nan,nan,0.0019,nan,nan,nan,801.51,2.04,0x0025
43.645418,66498296205,nan,nan,0.0020,nan,nan,nan,809.27,2.04,0x0025
44.147396,66498796748,nan,nan,0.0016,nan,nan,nan,817.53,2.05,0x0025
44.645758,66499296215,nan,nan,0.0013,nan,nan,nan,825.57,2.02,0x0025
45.145814,66499794690,nan,nan,0.0013,nan,nan,nan,834.03,2.04,0x0025
45.645719,66500297073,nan,nan,0.0012,nan,nan,nan,842.29,2.05,0x0025
46.145481,66500794945,nan,nan,0.0013,nan,nan,nan,850.78,2.02,0x0025
46.646521,66501293776,nan,nan,0.0016,nan,nan,nan,859.40,2.04,0x0025
47.146511,66501795267,nan,nan,0.0016,nan,nan,nan,867.84,2.04,0x0025
47.648701,66502293333,nan,nan,0.0016,nan,nan,nan,876.66,2.06,0x0025
48.145941,66502795857,nan,nan,0.0015,nan,nan,nan,885.06,2.06,0x0025
48.649120,66503293708,nan,nan,0.0010,nan,nan,nan,893.96,2.04,0x0025
49.146693,66503793861,nan,nan,0.0010,nan,nan,nan,902.53,2.04,0x0025
49.645842,66504297226,nan,nan,0.0010,nan,nan,nan,911.41,2.05,0x0025
50.146650,66504798101,nan,nan,0.0009,nan,nan,nan,920.12,2.06,0x0025
50.638173,66505294250,nan,nan,0.0010,nan,nan,nan,929.33,2.04,0x0025
51.146095,66505796617,nan,nan,0.0008,nan,nan,nan,938.14,2.04,0x0025
51.646045,66506292693,nan,nan,0.0006,nan,nan,nan,947.17,2.05,0x0025
52.146666,66506795367,nan,nan,0.0012,nan,nan,nan,956.11,2.06,0x0025
52.647852,66507294466,nan,nan,0.0013,nan,nan,nan,965.55,2.04,0x0025
53.146063,66507796921,nan,nan,0.0013,nan,nan,nan,975.00,2.06,0x0025
53.646601,66508296453,nan,nan,0.0015,nan,nan,nan,984.16,2.07,0x0025
54.147149,66508795898,nan,nan,0.0013,nan,nan,nan,993.28,2.07,0x0025
54.649422,66509298851,nan,nan,0.0014,nan,nan,nan,1002.92,2.05,0x0025
55.147221,66509794811,nan,nan,0.0014,nan,nan,nan,1012.02,2.05,0x0025
55.648340,66510295921,nan,nan,0.0015,nan,nan,nan,1021.65,2.07,0x0025
56.147738,66510796710,nan,nan,0.0015,nan,nan,nan,1030.66,2.02,0x0025
56.645383,66511294242,nan,nan,0.0015,nan,nan,nan,1040.31,2.04,0x0025
57.147104,66511794126,nan,nan,0.0017,nan,nan,nan,1049.72,2.05,0x0025
57.646156,66512292826,nan,nan,0.0017,nan,nan,nan,1059.24,2.02,0x0025
58.146725,66512797569,nan,nan,0.0015,nan,nan,nan,1069.12,2.04,0x0025
58.647007,66513296126,nan,nan,0.0016,nan,nan,nan,1078.71,2.05,0x0025
59.146460,66513795908,nan,nan,0.0015,nan,nan,nan,1088.28,2.06,0x0025
59.647894,66514294573,nan,nan,0.0012,nan,nan,nan,1098.39,2.03,0x0025
60.147420,66514796808,nan,nan,0.0010,nan,nan,nan,1108.57,2.05,0x0025
60.648597,66515296486,nan,nan,0.0009,nan,nan,nan,1118.32,2.06,0x0025
61.145631,66515796459,nan,nan,0.0002,nan,nan,nan,1128.57,2.05,0x0025
61.647972,66516298261,nan,nan,0.0010,nan,nan,nan,1138.86,1.99,0x0025
62.146308,66516796392,nan,nan,0.0011,nan,nan,nan,1149.15,1.95,0x0025
62.646097,66517295635,nan,nan,0.0008,nan,nan,nan,1159.69,1.91,0x0025
63.148744,66517796077,nan,nan,0.0006,nan,nan,nan,1169.62,1.83,0x0025
63.647125,66518296735,nan,nan,0.0004,nan,nan,nan,1179.04,1.78,0x0025
64.147455,66518795030,nan,nan,0.0002,nan,nan,nan,1188.72,1.75,0x0025
64.647280,66519294626,nan,nan,0.0001,nan,nan,nan,1197.66,1.71,0x0025
65.145960,66519794862,nan,nan,0.0001,nan,nan,nan,1205.15,1.67,0x0025
65.646683,66520296595,nan,nan,0.0002,nan,nan,nan,1211.75,1.66,0x0025
66.148158,66520794960,nan,nan,0.0005,nan,nan,nan,1217.12,1.66,0x0025
66.635208,66521294517,nan,nan,0.0005,nan,nan,nan,1220.75,1.67,0x0025
67.146212,66521790951,nan,nan,0.0006,nan,nan,nan,1223.56,1.69,0x0025
67.646459,66522292697,nan,nan,0.0008,nan,nan,nan,1224.06,1.69,0x0025
68.145758,66522795759,nan,nan,0.0009,nan,nan,nan,1225.34,1.70,0x0025
68.645679,66523291546,nan,nan,0.0006,nan,nan,nan,1226.86,1.73,0x0025
69.146822,66523797824,nan,nan,0.0005,nan,nan,nan,1227.34,1.73,0x0025
69.647052,66524295009,nan,nan,0.0003,nan,nan,nan,1229.45,1.74,0x0025
70.147531,66524793949,nan,nan,0.0002,nan,nan,nan,1232.83,1.77,0x0025
70.649780,66525296293,nan,nan,0.0004,nan,nan,nan,0.01,1.19,0x00A5
71.144963,66525793530,nan,nan,0.0005,nan,nan,nan,0.12,1.16,0x0025
71.646632,66526294874,nan,nan,0.0005,nan,nan,nan,0.28,1.13,0x0025
72.146975,66526799164,nan,nan,0.0007,nan,nan,nan,0.51,1.11,0x0025
72.646612,66527295687,nan,nan,0.0002,nan,nan,nan,0.81,1.10,0x0025
73.146613,66527798190,nan,nan,0.0001,nan,nan,nan,0.04,1.04,0x00A5
