t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
11.379654,0,0,195
11.414192,0,0,473
11.454982,0,0,77
11.498578,0,0,202
11.533169,0,0,82
11.573891,0,0,322
11.614623,0,0,64
11.635124,0,0,58
11.687511,0,0,62
11.714615,0,0,115
11.767319,0,0,61
11.798279,0,0,66
11.848542,0,0,15
11.888144,0,0,178
11.927262,0,0,12
11.954558,0,0,321
11.998180,0,0,179
12.034980,0,0,61
12.083037,0,0,168
12.115764,0,0,46
12.154775,0,0,10
12.188955,0,0,15
12.228051,0,0,19
12.266752,0,0,15
12.298536,0,0,101
12.354690,0,0,58
12.399404,0,0,145
12.435937,0,0,59
12.482138,0,0,177
12.516044,0,0,576
12.550374,0,0,64
12.588842,0,0,17
12.635723,0,0,12
12.674984,0,0,87
12.715720,0,0,109
12.754143,0,0,59
12.798948,0,0,12
12.833463,0,0,14
12.879996,0,0,100
12.914820,0,0,83
12.955356,0,0,123
12.997489,0,0,13
13.034300,0,0,864
13.067565,0,0,18
13.114506,0,0,18
13.153592,0,0,198
13.199217,0,0,14
13.245544,0,0,128
13.295405,0,0,19
13.298857,0,0,106
13.380184,0,0,104
13.415904,0,0,174
13.454570,0,0,84
13.495550,0,0,273
13.532348,0,0,62
13.567863,0,0,140
13.613923,0,0,344
13.651978,0,0,123
13.688989,0,0,140
13.729394,0,0,12
13.775703,0,0,231
13.810734,0,0,10
13.834371,0,0,62
13.892230,0,0,100
13.927618,0,0,7
13.975803,0,0,14
14.018517,0,0,17
14.054923,0,0,192
14.087384,0,0,91
14.115163,0,0,405
14.153919,0,0,153
14.198253,0,0,436
14.247930,0,0,12
14.287651,0,0,13
14.308789,0,0,106
14.354669,0,0,128
14.393975,0,0,10
14.427763,0,0,97
14.457553,0,0,17
14.508258,0,0,91
14.550783,0,0,47
14.587943,0,0,467
14.629313,0,0,165
14.654196,0,0,241
14.693437,0,0,85
14.727778,0,0,296
14.774735,0,0,176
14.813811,0,0,67
14.855852,0,0,12
14.898652,0,0,57
14.929310,0,0,90
14.955042,0,0,205
14.997131,0,0,80
15.028422,0,0,147
15.054493,0,0,61
15.094929,0,0,60
15.128646,0,0,104
15.174820,0,0,103
15.213874,0,0,12
15.254466,0,0,20
15.297284,0,0,115
15.308207,0,0,288
15.380182,0,0,88
15.428267,0,0,94
15.454044,0,0,38
15.489349,0,0,176
15.534594,0,0,95
15.569120,0,0,209
15.608153,0,0,15
15.627361,0,0,193
15.675623,0,0,13
15.713671,0,0,20
15.734534,0,0,339
15.794863,0,0,66
15.828404,0,0,90
15.868951,0,0,109
15.908020,0,0,13
15.935728,0,0,57
15.974390,0,0,8
16.015558,0,0,98
16.054784,0,0,61
16.098993,0,0,236
16.133393,0,0,330
16.188576,0,0,16
16.227501,0,0,11
16.275049,0,0,391
16.312997,0,0,13
16.354088,0,0,12
16.388284,0,0,86
16.414300,0,0,179
16.435247,0,0,15
16.474815,0,0,89
16.498558,0,0,149
16.550859,0,0,131
16.588800,0,0,65
16.628496,0,0,1335
16.668128,0,0,12
16.698398,0,0,13
16.734766,0,0,267
16.780362,0,0,10
16.815219,0,0,13
16.854340,0,0,159
16.893876,0,0,206
16.928224,0,0,152
16.974940,0,0,109
17.013476,0,0,63
17.034361,0,0,96
17.079945,0,0,72
17.114011,0,0,121
17.153324,0,0,14
17.198274,0,0,52
17.235046,0,0,108
17.281466,0,0,78
17.314887,0,0,14
17.369683,0,0,556
17.414616,0,0,313
17.453916,0,0,18
17.487555,0,0,85
17.528773,0,0,90
17.567985,0,0,107
17.608401,0,0,386
17.634370,0,0,82
17.654413,0,0,121
17.693801,0,0,303
17.727493,0,0,91
17.768814,0,0,95
17.808144,0,0,111
17.848896,0,0,1647
17.899731,0,0,19
17.935382,0,0,16
17.987555,0,0,15
18.034416,0,0,98
18.079949,0,0,85
18.129171,0,0,17
18.173685,0,0,12
18.215048,0,0,15
18.254479,0,0,131
18.298467,0,0,12
18.315138,0,0,58
18.375160,0,0,635
18.413222,0,0,8
18.435124,0,0,104
18.480624,0,0,149
18.514155,0,0,57
18.556819,0,0,9
18.598836,0,0,86
18.634915,0,0,146
18.682505,0,0,13
18.714531,0,0,13
18.755011,0,0,88
18.797508,0,0,468
18.834566,0,0,10
18.869967,0,0,13
18.907855,0,0,99
18.934142,0,0,153
18.979595,0,0,15
19.015409,0,0,78
19.053740,0,0,91
19.088244,0,0,100
19.128665,0,0,12
19.170041,0,0,13
19.199238,0,0,87
19.235096,0,0,60
19.254100,0,0,17
19.294759,0,0,1075
19.315943,0,0,859
19.356989,0,0,1000
19.408498,0,0,164
19.450305,0,0,109
19.499130,0,0,93
19.534887,0,0,64
19.580975,0,0,400
19.616137,0,0,108
19.654539,0,0,13
19.698918,0,0,68
19.734674,0,0,94
19.780306,0,0,13
19.827820,0,0,9
19.856141,0,0,59
19.900090,0,0,137
19.948668,0,0,12
19.988259,0,0,13
20.029163,0,0,135
20.068296,0,0,113
20.108265,0,0,43
20.134641,0,0,134
20.182637,0,0,15
20.228455,0,0,137
20.268036,0,0,19
20.315186,0,0,200
20.318745,0,0,313
20.380404,0,0,77
20.414538,0,0,162
20.468017,0,0,80
20.498947,0,0,15
20.534208,0,0,97
20.574950,0,0,86
20.614352,0,0,126
20.654014,0,0,15
20.698311,0,0,109
20.734360,0,0,264
20.779981,0,0,15
20.833874,0,0,67
20.867839,0,0,86
20.912336,0,0,110
20.950314,0,0,220
20.969498,0,0,344
20.998987,0,0,529
21.050522,0,0,13
21.093983,0,0,18
21.129319,0,0,14
21.175831,0,0,177
21.215928,0,0,236
21.251201,0,0,311
21.279960,0,0,329
21.316402,0,0,12
21.361976,0,0,131
21.398075,0,0,133
21.435234,0,0,145
21.479993,0,0,99
21.516018,0,0,62
21.555652,0,0,234
21.598769,0,0,84
21.648596,0,0,11
21.687788,0,0,58
21.727771,0,0,11
21.753836,0,0,13
21.795291,0,0,17
21.835021,0,0,118
21.878999,0,0,144
21.914967,0,0,14
21.954978,0,0,88
21.994467,0,0,87
22.034525,0,0,272
22.074969,0,0,256
22.113915,0,0,673
22.153654,0,0,230
22.194283,0,0,13
22.234398,0,0,18
22.279191,0,0,11
22.314055,0,0,14
22.328296,0,0,10
22.398059,0,0,65
22.434690,0,0,112
22.479359,0,0,891
22.516284,0,0,63
22.553994,0,0,63
22.598348,0,0,62
22.646084,0,0,220
22.669988,0,0,17
22.708353,0,0,958
22.751600,0,0,95
22.795334,0,0,17
22.834810,0,0,18
22.879338,0,0,56
22.914775,0,0,105
22.954170,0,0,321
22.998391,0,0,205
23.015662,0,0,277
23.054283,0,0,344
23.097955,0,0,149
23.134213,0,0,13
23.176523,0,0,65
23.214576,0,0,90
23.254658,0,0,247
23.288503,0,0,219
23.328038,0,0,12
23.334496,0,0,62
23.414802,0,0,258
23.453857,0,0,94
23.495016,0,0,108
23.535288,0,0,203
23.580377,0,0,10
23.614941,0,0,84
23.653796,0,0,86
23.698006,0,0,142
23.747495,0,0,16
23.782120,0,0,12
23.815199,0,0,84
23.854685,0,0,105
23.899270,0,0,15
23.946763,0,0,154
23.979235,0,0,83
24.013721,0,0,101
24.054204,0,0,12
24.098971,0,0,791
24.134429,0,0,16
24.179726,0,0,14
24.215824,0,0,65
24.274639,0,0,107
24.314651,0,0,16
24.336290,0,0,11
24.398970,0,0,12
24.433442,0,0,920
24.490645,0,0,312
24.528134,0,0,78
24.570289,0,0,11
24.598106,0,0,80
24.634145,0,0,269
24.675184,0,0,100
24.715997,0,0,11
24.755987,0,0,8
24.797501,0,0,63
24.828551,0,0,185
24.854152,0,0,140
24.891644,0,0,186
24.916915,0,0,11
24.953676,0,0,103
24.988490,0,0,140
25.027346,0,0,216
25.053897,0,0,193
25.098762,0,0,110
25.136012,0,0,16
25.181382,0,0,66
25.227453,0,0,112
25.268602,0,0,406
25.308215,0,0,84
25.333739,0,0,403
25.396600,0,0,17
25.435364,0,0,161
25.473793,0,0,22
25.519276,0,0,212
25.554117,0,0,125
25.598535,0,0,15
25.634482,0,0,125
25.681014,0,0,122
25.717249,0,0,164
25.755633,0,0,112
25.809054,0,0,65
25.854412,0,0,14
25.889464,0,0,241
25.928236,0,0,111
25.975352,0,0,16
26.010023,0,0,10
26.033625,0,0,242
26.081203,0,0,63
26.115564,0,0,77
26.154318,0,0,11
26.198484,0,0,17
26.249163,0,0,130
26.292227,0,0,69
26.336950,0,0,15
26.338249,0,0,17
26.398498,0,0,100
26.434368,0,0,12
26.481266,0,0,14
26.514929,0,0,67
26.548783,0,0,130
26.594894,0,0,177
26.634240,0,0,16
26.679589,0,0,167
26.716331,0,0,1389
26.768615,0,0,12
26.809650,0,0,14
26.850142,0,0,174
26.891009,0,0,587
26.928896,0,0,60
26.953594,0,0,92
26.997856,0,0,201
27.034971,0,0,12
27.067882,0,0,179
27.098762,0,0,361
27.145780,0,0,13
27.178836,0,0,57
27.214281,0,0,54
27.254082,0,0,214
27.298483,0,0,59
27.347723,0,0,129
27.388899,0,0,84
27.435823,0,0,101
27.479840,0,0,12
27.515913,0,0,260
27.553105,0,0,98
27.599995,0,0,59
27.634127,0,0,99
27.680072,0,0,19
27.714875,0,0,1594
27.754472,0,0,13
27.798225,0,0,100
27.834840,0,0,192
27.879645,0,0,281
27.930020,0,0,96
27.967783,0,0,238
28.008138,0,0,128
28.048375,0,0,137
28.087560,0,0,105
28.115299,0,0,93
28.169107,0,0,11
28.198173,0,0,13
28.234877,0,0,736
28.275143,0,0,511
28.307450,0,0,121
28.348349,0,0,12
28.388954,0,0,13
28.431011,0,0,145
28.468372,0,0,12
28.497834,0,0,120
28.535025,0,0,1031
28.581614,0,0,122
28.614392,0,0,62
28.654802,0,0,16
28.700002,0,0,16
28.734623,0,0,17
28.787215,0,0,14
28.834690,0,0,102
28.873850,0,0,298
28.914337,0,0,15
28.955342,0,0,202
28.993892,0,0,100
29.034764,0,0,183
29.079627,0,0,95
29.114334,0,0,12
29.154759,0,0,18
29.194683,0,0,48
29.215043,0,0,58
29.254866,0,0,64
29.297371,0,0,58
29.334995,0,0,12
29.350375,0,0,13
29.417533,0,0,13
29.453581,0,0,91
29.499031,0,0,242
29.535000,0,0,80
29.567498,0,0,88
29.597692,0,0,146
29.649119,0,0,210
29.691475,0,0,13
29.728358,0,0,62
29.768003,0,0,12
29.813235,0,0,11
29.854834,0,0,91
29.899301,0,0,12
29.946804,0,0,244
29.980105,0,0,58
30.027366,0,0,101
30.053762,0,0,109
30.088950,0,0,82
30.134707,0,0,87
30.173599,0,0,158
30.214818,0,0,18
30.254798,0,0,96
30.298451,0,0,122
30.347824,0,0,1147
30.351143,0,0,116
30.428179,0,0,17
30.467314,0,0,138
30.499328,0,0,62
30.549514,0,0,11
30.588163,0,0,123
30.628342,0,0,60
30.674944,0,0,314
30.714146,0,0,15
30.755398,0,0,14
30.798859,0,0,223
30.833878,0,0,151
30.880218,0,0,14
30.916278,0,0,13
30.968191,0,0,298
31.009309,0,0,363
31.049283,0,0,784
31.089440,0,0,135
31.131085,0,0,120
31.181811,0,0,406
31.228571,0,0,165
31.254638,0,0,89
31.307546,0,0,12
31.348847,0,0,14
31.351969,0,0,184
31.414107,0,0,118
31.434571,0,0,81
31.480209,0,0,12
31.528572,0,0,19
31.569102,0,0,87
31.616377,0,0,14
31.655193,0,0,61
31.698320,0,0,113
31.734773,0,0,180
31.780462,0,0,111
31.814826,0,0,11
